Time	rain	temp	wdsp	clamt	Clontarf - James Larkin Rd	Clontarf - Pebble Beach Carpark	Griffith Avenue (Clare Rd Side)	Griffith Avenue (Lane Side)	Grove Road Totem	Richmond Street Cyclists 1	Richmond Street Cyclists 2
2022-09-01T00:00:00Z	0	13	6	6	6	8	0	0	33	25	8
2022-09-01T01:00:00Z	0	13.6	7	6	1	2	0	0	8	3	1
2022-09-01T02:00:00Z	0	14	6	6	1	2	0	0	5	7	6
2022-09-01T03:00:00Z	0	14.4	5	6	0	0	0	0	6	7	3
2022-09-01T04:00:00Z	0	14.4	5	7	1	3	0	0	2	2	2
2022-09-01T05:00:00Z	0	13.5	6	7	21	26	0	0	39	2	9
2022-09-01T06:00:00Z	0	14.2	6	7	30	44	0	0	132	9	40
2022-09-01T07:00:00Z	0	15	8	7	89	111	0	0	324	43	88
2022-09-01T08:00:00Z	0	15.5	9	7	123	170	0	0	619	81	228
2022-09-01T09:00:00Z	0	16.4	11	5	67	90	0	0	287	42	153
2022-09-01T10:00:00Z	0	18	14	5	51	86	0	0	112	12	84
2022-09-01T11:00:00Z	0	17.9	15	5	53	75	0	0	100	49	86
2022-09-01T12:00:00Z	0	18.5	14	5	59	79	0	0	110	64	91
2022-09-01T13:00:00Z	0	18	14	7	54	82	0	0	141	89	103
2022-09-01T14:00:00Z	0	18.8	13	4	60	80	0	0	119	71	95
2022-09-01T15:00:00Z	0	18.6	13	4	74	107	0	0	165	72	95
2022-09-01T16:00:00Z	0	16.9	12	5	76	137	0	0	252	117	93
2022-09-01T17:00:00Z	0	16.6	11	6	147	185	0	0	429	263	131
2022-09-01T18:00:00Z	0	16.5	9	6	174	222	0	0	368	205	118
2022-09-01T19:00:00Z	0	15.5	7	4	113	123	0	0	214	125	111
2022-09-01T20:00:00Z	0	14.5	6	6	78	107	0	0	168	117	110
2022-09-01T21:00:00Z	0	14.9	4	6	23	36	0	0	112	71	70
2022-09-01T22:00:00Z	0	14.5	5	6	12	21	0	0	72	64	37
2022-09-01T23:00:00Z	0	14.1	5	6	4	15	0	0	60	50	25
2022-09-02T00:00:00Z	0	14.1	4	6	2	4	0	0	44	23	15
2022-09-02T01:00:00Z	0	13.8	4	6	5	0	0	0	12	8	0
2022-09-02T02:00:00Z	0	13.5	5	6	0	0	0	0	10	10	6
2022-09-02T03:00:00Z	0	13.1	4	6	2	1	0	0	8	11	2
2022-09-02T04:00:00Z	0	13.2	4	6	3	4	0	0	10	3	1
2022-09-02T05:00:00Z	0	13.1	4	6	5	10	0	0	32	3	7
2022-09-02T06:00:00Z	0	12.4	6	6	17	30	0	0	130	13	42
2022-09-02T07:00:00Z	0	13.1	5	7	65	75	0	0	246	36	78
2022-09-02T08:00:00Z	0	14.9	3	7	92	123	0	0	420	52	145
2022-09-02T09:00:00Z	0	16.9	3	7	63	72	0	0	203	42	123
2022-09-02T10:00:00Z	0	18.1	4	7	80	100	0	0	96	15	62
2022-09-02T11:00:00Z	0	18.6	4	7	72	92	0	0	99	54	83
2022-09-02T12:00:00Z	0	19.2	3	7	71	85	0	0	119	80	108
